# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
zhao wo 	找我	c=1 d=7.02943e-60 t=52095
zhao yang 	朝陽	c=1 d=6.19046e-95 t=52095
zhao zhao 	找着	c=2 d=1.71036e-20 t=52095
zhe 	着	c=14 d=1.10572e-17 t=52095
zhe 	者	c=17 d=0.00214926 t=52095
zhe 	這	c=92 d=0.406505 t=52095
zhe bang 	這幫	c=1 d=6.79806e-78 t=52095
zhe bian 	這邊	c=5 d=4.22925e-91 t=52095
zhe bian shi 	這便是	c=1 d=1.22849e-68 t=52095
zhe bu 	這部	c=0 d=1.41768e-107 t=52095
zhe bu fen 	這部分	c=3 d=4.88178e-06 t=52095
zhe bu shi 	這不是	c=1 d=3.60867e-98 t=52095
zhe cha 	這茬	c=1 d=7.20324e-112 t=52095
zhe ci 	這次	c=2 d=4.73946e-99 t=52095
zhe dian 	這點	c=1 d=5.08967e-26 t=52095
zhe duan 	這段	c=12 d=0.377998 t=52095
zhe ge 	這個	c=163 d=2.58778 t=52095
zhe ge biao 	這個表	c=1 d=2.04871e-26 t=52095
zhe ge shi 	這個是	c=1 d=2.21362e-25 t=52095
zhe gun 	這滾	c=1 d=2.13771e-85 t=52095
zhe hang 	這行	c=2 d=0.224893 t=52095
zhe hua 	這話	c=1 d=9.55123e-49 t=52095
zhe hui 	這回	c=1 d=1.30521e-16 t=52095
zhe ji tian 	這幾天	c=1 d=6.67978e-48 t=52095
zhe jiu 	這就	c=5 d=0.0149208 t=52095
zhe jiu qu 	這就去	c=1 d=8.58083e-112 t=52095
zhe jiu shi 	這就是	c=1 d=3.48181e-30 t=52095
zhe ju hua 	這句話	c=2 d=9.85583e-36 t=52095
zhe lei 	這類	c=1 d=5.06309e-82 t=52095
zhe li 	這裏	c=63 d=0.000311814 t=52095
zhe li de 	這裏的	c=1 d=1.55933e-50 t=52095
zhe liang 	這兩	c=0 d=2.80804e-89 t=52095
zhe liang ben 	這兩本	c=1 d=8.33627e-66 t=52095
zhe liang fen 	這兩份	c=1 d=2.82212e-88 t=52095
zhe liang tian 	這兩天	c=2 d=0.282239 t=52095
zhe me 	這麼	c=18 d=0.151546 t=52095
zhe me ge 	這麼個	c=1 d=2.21996e-88 t=52095
zhe pian 	這篇	c=7 d=7.7518e-05 t=52095
zhe shi 	這是	c=41 d=0.256743 t=52095
zhe shi 	這時	c=1 d=9.64261e-14 t=52095
zhe shi ge 	這是個	c=1 d=9.14242e-05 t=52095
zhe shuo ming 	這說明	c=1 d=2.15735e-75 t=52095
zhe si 	這廝	c=1 d=4.48231e-31 t=52095
zhe tai 	這臺	c=6 d=1.58856e-05 t=52095
zhe tao 	這套	c=2 d=1.22495e-59 t=52095
zhe tiao 	這條	c=1 d=1.93111e-07 t=52095
zhe tiao lu 	這條路	c=1 d=9.15614e-52 t=52095
zhe wan yi 	這玩意	c=2 d=1.69478e-30 t=52095
zhe wan yi er 	這玩意兒	c=1 d=2.58299e-17 t=52095
zhe xie 	這些	c=27 d=1.13999e-12 t=52095
zhe xue 	哲學	c=11 d=1.50032e-08 t=52095
zhe yang 	這樣	c=36 d=0.340699 t=52095
zhe yang zuo 	這樣做	c=2 d=4.21908e-66 t=52095
zhe ye shi 	這也是	c=5 d=0.000133021 t=52095
zhe yi 	這一	c=3 d=3.9338e-73 t=52095
zhe yi bu 	這一步	c=2 d=2.69915e-27 t=52095
zhe yi dian 	這一點	c=1 d=9.41894e-32 t=52095
zhe yi xiang 	這一項	c=1 d=1.24363e-65 t=52095
zhe zhang 	這張	c=1 d=2.1863e-26 t=52095
zhe zhong 	這種	c=16 d=4.07873e-13 t=52095
zhe zhong ren 	這種人	c=0 d=1.10705e-21 t=52095
zhei 	這	c=1 d=3.56559e-45 t=52095
zhen 	幀	c=22 d=0.00409986 t=52095
zhen 	振	c=1 d=2.66012e-69 t=52095
zhen 	甄	c=1 d=5.38368e-69 t=52095
zhen 	真	c=4 d=1.04653e-64 t=52095
zhen 	震	c=2 d=7.48613e-23 t=52095
zhen biao 	真表	c=1 d=1.66949e-59 t=52095
zhen can 	真慘	c=1 d=8.22449e-113 t=52095
zhen dang 	振盪	c=1 d=1.29222e-16 t=52095
zhen de 	真的	c=7 d=4.37625e-14 t=52095
zhen de shi 	真的是	c=1 d=9.26865e-78 t=52095
zhen dui 	針對	c=7 d=2.47319e-06 t=52095
zhen jiang 	鎮江	c=1 d=4.37433e-97 t=52095
zhen shi 	真實	c=1 d=1.78065e-82 t=52095
zhen shi 	真是	c=2 d=0.29523 t=52095
zhen shi de 	真是的	c=1 d=8.90522e-78 t=52095
zhen xiong 	真兇	c=1 d=9.08106e-14 t=52095
zhen zhu 	珍珠	c=3 d=1.71321e-69 t=52095
zhen zhuo 	斟酌	c=0 d=9.71012e-97 t=52095
zhen zhuo hou 	斟酌後	c=1 d=9.75879e-96 t=52095
zheng 	徵	c=1 d=1.75688e-71 t=52095
zheng 	政	c=1 d=1.87456e-69 t=52095
zheng 	整	c=12 d=4.86737e-30 t=52095
zheng 	正	c=8 d=1.05091e-18 t=52095
zheng 	證	c=1 d=2.41067e-87 t=52095
zheng 	鄭	c=12 d=6.69159e-10 t=52095
zheng ban 	正版	c=1 d=1.53804e-06 t=52095
zheng bao 	整包	c=8 d=1.91953e-36 t=52095
zheng bi 	正比	c=1 d=3.43231e-38 t=52095
zheng bu 	整部	c=0 d=6.08579e-71 t=52095
zheng bu zheng chang 	整部正常	c=2 d=1.07558e-63 t=52095
zheng ce 	政策	c=5 d=3.27867e-82 t=52095
zheng cha 	正插	c=1 d=7.35721e-08 t=52095
zheng chang 	正常	c=46 d=3.77032e-22 t=52095
zheng cheng 	征程	c=1 d=1.06985e-59 t=52095
zheng chou 	正愁	c=1 d=9.82338e-56 t=52095
zheng ci 	證詞	c=1 d=1.88133e-82 t=52095
zheng dian 	整點	c=6 d=0.00279216 t=52095
zheng ding 	整定	c=6 d=4.55148e-95 t=52095
zheng fang xing 	正方形	c=1 d=9.38892e-112 t=52095
zheng fu 	政府	c=7 d=1.07935e-16 t=52095
zheng ge 	整個	c=9 d=4.69231e-21 t=52095
zheng gong 	鄭工	c=3 d=6.34545e-31 t=52095
zheng gui 	正軌	c=1 d=7.5996e-07 t=52095
zheng he 	整合	c=6 d=0.000521449 t=52095
zheng jing 	正經	c=1 d=1.90062e-55 t=52095
zheng li 	整理	c=38 d=0.0010736 t=52095
zheng mang 	正忙	c=3 d=5.35615e-54 t=52095
zheng ming 	證明	c=6 d=2.61682e-87 t=52095
zheng pian 	整片	c=2 d=1.3582e-43 t=52095
zheng ping 	整屏	c=1 d=1.37293e-111 t=52095
zheng qi 	蒸汽	c=6 d=2.37059e-14 t=52095
zheng qi ji 	蒸汽機	c=5 d=1.40286e-14 t=52095
zheng qi lun ji 	蒸氣輪機	c=1 d=2.82576e-15 t=52095
zheng qiang 	爭搶	c=1 d=6.84494e-100 t=52095
zheng quan 	證券	c=1 d=1.93388e-112 t=52095
zheng que 	正確	c=3 d=2.22107e-65 t=52095
zheng shi 	正是	c=1 d=1.29976e-55 t=52095
zheng shu 	整數	c=5 d=1.64235e-72 t=52095
zheng shu 	證書	c=2 d=2.27987e-19 t=52095
zheng shu bei 	整數倍	c=2 d=2.2189e-53 t=52095
zheng ti 	整體	c=7 d=1.73922e-11 t=52095
zheng ti 	正體	c=2 d=2.8599e-68 t=52095
zheng tian 	整天	c=1 d=8.08302e-56 t=52095
zheng wen 	正文	c=1 d=8.73985e-34 t=52095
zheng xiang 	正向	c=10 d=0.000362822 t=52095
zheng xing 	整型	c=2 d=9.66957e-68 t=52095
zheng xing 	整形	c=1 d=1.07943e-105 t=52095
zheng zai 	正在	c=14 d=1.84857e-48 t=52095
zheng ze 	正則	c=6 d=1.14193e-32 t=52095
zheng zhi 	政治	c=2 d=3.10949e-23 t=52095
zheng zhi 	正值	c=1 d=1.43646e-55 t=52095
zheng zhou 	鄭州	c=1 d=3.75606e-69 t=52095
zhi 	之	c=31 d=0.00010085 t=52095
zhi 	值	c=57 d=7.68421e-09 t=52095
zhi 	只	c=12 d=0.000198915 t=52095
zhi 	志	c=2 d=5.6414e-23 t=52095
zhi 	指	c=6 d=6.60876e-09 t=52095
zhi 	直	c=1 d=1.11993e-10 t=52095
zhi 	置	c=16 d=2.62381e-25 t=52095
zhi 	至	c=66 d=2.9058e-06 t=52095
zhi biao 	治標	c=1 d=1.56789e-85 t=52095
zhi biao 	製表	c=1 d=0.000808767 t=52095
zhi bo 	直播	c=6 d=6.45332e-54 t=52095
zhi bu guo 	只不過	c=5 d=2.40378e-24 t=52095
zhi bu zhi 	值不值	c=1 d=3.41287e-30 t=52095
zhi chang 	職場	c=3 d=1.37877e-14 t=52095
zhi cheng 	職稱	c=4 d=7.6502e-93 t=52095
zhi chi 	支持	c=69 d=0.00412917 t=52095
zhi chi bao 	支持包	c=2 d=2.09041e-76 t=52095
zhi chu 	之初	c=1 d=5.74817e-75 t=52095
zhi chu 	指出	c=3 d=0.919752 t=52095
zhi chu 	支出	c=2 d=2.93692e-78 t=52095
zhi ci 	至此	c=3 d=2.48086e-13 t=52095
zhi dai 	指代	c=3 d=2.6541e-73 t=52095
zhi dao 	指導	c=1 d=9.79635e-53 t=52095
zhi dao 	知道	c=17 d=6.79351e-06 t=52095
zhi dao le 	知道了	c=0 d=5.08793e-23 t=52095
zhi dao shou ce 	指導手冊	c=1 d=1.56044e-29 t=52095
zhi de 	指的	c=7 d=6.13044e-09 t=52095
zhi de qing xing 	值得慶幸	c=1 d=9.5285e-21 t=52095
zhi de shi 	指的是	c=1 d=1.1564e-33 t=52095
zhi ding 	制定	c=6 d=1.77889e-41 t=52095
zhi ding 	指定	c=13 d=0.0204453 t=52095
zhi ding hao 	制定好	c=1 d=7.98031e-82 t=52095
zhi fu 	支付	c=6 d=2.23831e-89 t=52095
zhi fu 	致富	c=1 d=1.98561e-99 t=52095
zhi fu bao 	支付寶	c=4 d=1.35207e-78 t=52095
zhi gong 	職工	c=3 d=9.35456e-39 t=52095
zhi hang 	支行	c=2 d=0.00264522 t=52095
zhi hao 	只好	c=1 d=2.25449e-05 t=52095
zhi he 	之和	c=1 d=5.63088e-09 t=52095
zhi hou 	之後	c=41 d=0.447905 t=52095
zhi hou 	滯後	c=1 d=3.36846e-23 t=52095
zhi hu 	知乎	c=10 d=0.130099 t=52095
zhi huan 	只還	c=2 d=1.69211e-58 t=52095
zhi hui 	智慧	c=1 d=2.39798e-26 t=52095
zhi ji 	之際	c=1 d=1.45817e-55 t=52095
zhi jian 	之間	c=18 d=8.11956e-08 t=52095
zhi jiao 	執教	c=1 d=9.62559e-52 t=52095
zhi jiao 	直角	c=3 d=4.76453e-08 t=52095
zhi jie 	直接	c=19 d=4.36272e-07 t=52095
zhi jin 	至今	c=1 d=7.07091e-41 t=52095
zhi kan 	只看	c=1 d=0.000120363 t=52095
zhi lei 	之類	c=1 d=3.1079e-17 t=52095
zhi lian 	智聯	c=1 d=1.61087e-109 t=52095
zhi liang 	質量	c=5 d=2.22206e-11 t=52095
zhi ling 	指令	c=99 d=3.51702e-07 t=52095
zhi ling 	置零	c=1 d=4.77083e-59 t=52095
zhi ling ji 	指令集	c=39 d=1.64328e-48 t=52095
zhi liu 	直流	c=1 d=3.46869e-15 t=52095
zhi mang 	置忙	c=1 d=5.23346e-89 t=52095
zhi nan 	指南	c=22 d=0.00121274 t=52095
zhi neng 	只能	c=9 d=5.55177e-19 t=52095
zhi neng 	智能	c=19 d=0.00121898 t=52095
zhi qian 	之前	c=43 d=1.46099e-19 t=52095
zhi qian de 	之前的	c=1 d=2.85406e-44 t=52095
zhi qian dong feng 	只欠東風	c=1 d=3.85993e-37 t=52095
zhi shao 	至少	c=2 d=6.56802e-26 t=52095
zhi shi 	之師	c=1 d=2.32592e-19 t=52095
zhi shi 	只是	c=15 d=0.00119453 t=52095
zhi shi 	知識	c=10 d=0.00120795 t=52095
zhi shi deng 	指示燈	c=11 d=0.0107609 t=52095
zhi shi dian 	知識點	c=1 d=7.3153e-29 t=52095
zhi shou 	之手	c=1 d=1.12858e-70 t=52095
zhi shu 	指數	c=1 d=1.2331e-112 t=52095
zhi tai 	置臺	c=1 d=6.03858e-96 t=52095
zhi wai 	之外	c=1 d=5.15764e-35 t=52095
zhi wei 	置位	c=24 d=4.41808e-32 t=52095
zhi wei 	置爲	c=6 d=1.25702e-44 t=52095
zhi wu 	植物	c=4 d=4.67007e-96 t=52095
zhi xi 	知悉	c=1 d=1.73244e-112 t=52095
zhi xian shi 	只顯示	c=1 d=1.22153e-60 t=52095
zhi xiang 	指向	c=1 d=4.46313e-10 t=52095
zhi xing 	執行	c=144 d=9.40459e-05 t=52095
zhi xing yu 	執行域	c=2 d=1.01742e-102 t=52095
zhi xu 	只需	c=8 d=4.21267e-07 t=52095
zhi xu yao 	只需要	c=5 d=6.04534e-21 t=52095
zhi yao 	只要	c=3 d=6.12741e-28 t=52095
zhi yi 	之一	c=4 d=6.2932e-27 t=52095
zhi yin hao 	直引號	c=1 d=1.12554e-09 t=52095
zhi yong 	只用	c=1 d=9.04317e-53 t=52095
zhi you 	只有	c=12 d=0.000395642 t=52095
zhi you 	摯友	c=1 d=2.78265e-40 t=52095
zhi yu 	之餘	c=2 d=1.30826e-57 t=52095
zhi yu 	置於	c=3 d=1.09505e-100 t=52095
zhi yu 	至於	c=1 d=1.33934e-55 t=52095
zhi zai 	只在	c=2 d=7.82971e-05 t=52095
zhi zhen 	指針	c=8 d=1.16176e-58 t=52095
zhi zhi 	直至	c=2 d=6.36503e-39 t=52095
zhi zi zhi shou 	執子之手	c=2 d=3.1323e-13 t=52095
zhi zuo 	製作	c=7 d=3.8348e-19 t=52095
zhong 	中	c=442 d=2.19067 t=52095
zhong 	種	c=10 d=0.00050134 t=52095
zhong 	鍾	c=2 d=6.63403e-26 t=52095
zhong cheng 	終成	c=1 d=4.14121e-41 t=52095
zhong da 	重大	c=2 d=8.65759e-11 t=52095
zhong de 	中的	c=3 d=5.05637e-37 t=52095
zhong dian 	重點	c=5 d=6.57137e-32 t=52095
zhong du 	中毒	c=1 d=1.18988e-104 t=52095
zhong duan 	中斷	c=124 d=1.97203e-05 t=52095
zhong duan 	終端	c=43 d=2.93914e-07 t=52095
zhong duan di zhi 	終端地址	c=1 d=4.98331e-101 t=52095
zhong duo 	衆多	c=1 d=3.36642e-104 t=52095
zhong fang 	中房	c=1 d=1.68651e-90 t=52095
zhong guo 	中國	c=68 d=3.01476e-09 t=52095
zhong guo ren 	中國人	c=1 d=6.41042e-05 t=52095
zhong guo ren min 	中國人民	c=1 d=6.92927e-97 t=52095
zhong guo ren min yin hang 	中國人民銀行	c=1 d=6.55845e-97 t=52095
zhong guo zi 	中國字	c=1 d=4.53415e-78 t=52095
zhong ji 	終極	c=1 d=8.41092e-112 t=52095
zhong jian 	中間	c=17 d=2.9138e-23 t=52095
zhong jian 	重劍	c=1 d=1.31573e-81 t=52095
zhong jian jian 	中間件	c=4 d=1.54412e-23 t=52095
zhong lei 	種類	c=4 d=1.02654e-14 t=52095
zhong nian 	中年	c=1 d=3.44424e-20 t=52095
zhong pin 	中頻	c=5 d=7.0565e-25 t=52095
zhong qiu 	中秋	c=2 d=2.46866e-93 t=52095
zhong qu 	中去	c=1 d=2.06242e-75 t=52095
zhong ri han 	中日韓	c=7 d=7.16551e-17 t=52095
zhong tu 	中途	c=1 d=4.26053e-81 t=52095
zhong wen 	中文	c=41 d=0.130709 t=52095
zhong wu 	中午	c=2 d=1.82584e-24 t=52095
zhong xin 	中心	c=4 d=0.00319873 t=52095
zhong xin 	中芯	c=2 d=2.38115e-52 t=52095
zhong xing 	中興	c=1 d=9.17174e-72 t=52095
zhong xing 	終興	c=1 d=3.77489e-69 t=52095
zhong xing zhen 	終興鎮	c=1 d=2.23564e-112 t=52095
zhong xue 	中學	c=2 d=7.77426e-90 t=52095
zhong yang 	中央	c=1 d=4.00627e-63 t=52095
zhong yao 	中藥	c=3 d=2.95632e-17 t=52095
zhong yao 	重要	c=3 d=3.28362e-17 t=52095
zhong yao xing 	重要性	c=1 d=1.7576e-17 t=52095
zhong yi song ti 	中易宋體	c=1 d=3.63526e-08 t=52095
zhong yin 	重音	c=1 d=3.25659e-08 t=52095
zhong yu 	終於	c=1 d=9.33664e-17 t=52095
zhong zheng 	中證	c=1 d=2.05347e-112 t=52095
zhong zhi 	種植	c=1 d=3.0215e-97 t=52095
zhong zhi 	終止	c=1 d=6.43515e-109 t=52095
zhong zhou yun 	中州韻	c=2 d=3.66606e-19 t=52095
zhong zi 	種子	c=2 d=3.96776e-67 t=52095
zhou 	周	c=24 d=0.00228818 t=52095
zhou 	州	c=1 d=7.98143e-113 t=52095
zhou bao 	週報	c=2 d=2.71811e-58 t=52095
zhou bian 	週邊	c=2 d=3.11957e-112 t=52095
zhou gong 	周公	c=1 d=3.72312e-83 t=52095
zhou gong 	周工	c=2 d=1.48573e-73 t=52095
zhou lao shi 	周老師	c=1 d=6.16162e-98 t=52095
zhou mo 	週末	c=5 d=2.68228e-78 t=52095
zhou qi 	週期	c=95 d=5.96618e-05 t=52095
zhou ri 	週日	c=2 d=6.75243e-87 t=52095
zhou ti 	軸體	c=1 d=1.75988e-91 t=52095
zhou wei 	周圍	c=1 d=3.34382e-113 t=52095
zhou xin 	軸心	c=1 d=2.77736e-47 t=52095
zhou ye 	晝夜	c=3 d=1.30248e-52 t=52095
zhou zhi 	周知	c=1 d=1.86459e-112 t=52095
zhou zhui zhu 	周追逐	c=1 d=4.82057e-34 t=52095
zhu 	丶	c=1 d=1.79171e-96 t=52095
zhu 	主	c=11 d=2.53831e-47 t=52095
zhu 	住	c=3 d=2.96107e-87 t=52095
zhu 	朱	c=1 d=4.43893e-93 t=52095
zhu 	祝	c=2 d=9.23982e-41 t=52095
zhu 	註	c=18 d=0.00296005 t=52095
zhu ban 	主板	c=0 d=2.5303e-99 t=52095
zhu ban shang 	主板上	c=1 d=2.54299e-98 t=52095
zhu bu 	逐步	c=4 d=5.47861e-10 t=52095
zhu ce 	註冊	c=25 d=7.62187e-12 t=52095
zhu ce wang luo 	註冊網絡	c=1 d=8.90399e-47 t=52095
zhu ci 	助詞	c=1 d=7.03707e-14 t=52095
zhu dao 	主導	c=1 d=1.38225e-73 t=52095
zhu dong 	主動	c=4 d=1.19979e-08 t=52095
zhu duo 	諸多	c=1 d=1.51643e-16 t=52095
zhu ji 	主機	c=2 d=2.72894e-46 t=52095
zhu jiao 	助教	c=1 d=6.04617e-52 t=52095
zhu jie mian 	主界面	c=1 d=2.87014e-110 t=52095
zhu kong 	主控	c=12 d=8.4876e-13 t=52095
zhu li 	助力	c=1 d=5.65507e-30 t=52095
zhu li 	助理	c=2 d=1.92594e-93 t=52095
zhu liu 	主流	c=3 d=9.05762e-13 t=52095
zhu mu lang ma feng 	珠穆朗瑪峯	c=1 d=3.42636e-47 t=52095
zhu pin 	主頻	c=3 d=1.81509e-84 t=52095
zhu ru 	注入	c=2 d=4.74749e-23 t=52095
zhu shi 	註釋	c=6 d=0.000863083 t=52095
zhu shu 	煮熟	c=1 d=1.60316e-82 t=52095
zhu ti 	主題	c=9 d=4.52209e-11 t=52095
zhu ti 	主體	c=8 d=8.75856e-22 t=52095
zhu wei 	諸位	c=5 d=4.19166e-07 t=52095
zhu wo 	祝我	c=1 d=2.25435e-63 t=52095
zhu xiao 	註銷	c=4 d=2.811e-71 t=52095
zhu yao 	主要	c=16 d=2.49805e-06 t=52095
zhu yao shi 	主要是	c=4 d=9.94187e-48 t=52095
zhu ye 	主頁	c=4 d=0.00116504 t=52095
zhu yi 	注意	c=21 d=3.09836e-17 t=52095
zhu yi 	逐一	c=1 d=1.08152e-69 t=52095
zhu yin 	主因	c=0 d=1.09839e-105 t=52095
zhu yin 	注音	c=16 d=7.20585e-77 t=52095
zhu yin pin yin 	主因拼音	c=1 d=1.1039e-104 t=52095
zhu zhai 	住宅	c=3 d=2.81292e-79 t=52095
zhu zhan 	主站	c=19 d=1.91978e-26 t=52095
zhu zhe 	住着	c=1 d=1.14703e-55 t=52095
zhu zuo quan 	著作權	c=2 d=1.87845e-64 t=52095
zhuai ta 	拽塌	c=2 d=5.02842e-60 t=52095
zhuan 	轉	c=18 d=2.02664e-16 t=52095
zhuan cheng 	轉成	c=3 d=3.15165e-05 t=52095
zhuan dao 	轉到	c=1 d=9.27556e-28 t=52095
zhuan dong 	轉動	c=2 d=1.30836e-15 t=52095
zhuan fa 	轉發	c=3 d=8.83773e-60 t=52095
zhuan hua 	轉化	c=4 d=1.65031e-14 t=52095
zhuan hua wei 	轉化爲	c=1 d=2.32513e-15 t=52095
zhuan huan 	轉換	c=19 d=2.70806e-12 t=52095
zhuan ji 	專輯	c=1 d=1.3026e-110 t=52095
zhuan jiao 	轉交	c=1 d=4.74446e-82 t=52095
zhuan ma 	轉碼	c=1 d=1.0044e-81 t=52095
zhuan men 	專門	c=1 d=6.69685e-78 t=52095
zhuan shu 	專屬	c=1 d=5.88949e-96 t=52095
zhuan wei 	轉爲	c=3 d=2.41814e-57 t=52095
zhuan xie 	撰寫	c=3 d=7.64056e-68 t=52095
zhuan xin 	專心	c=1 d=4.68847e-60 t=52095
zhuan ye 	專業	c=6 d=8.34449e-16 t=52095
zhuan yi 	轉移	c=2 d=1.28486e-37 t=52095
zhuan yong 	專用	c=2 d=0.0108347 t=52095
zhuan zhi 	轉至	c=1 d=9.55804e-28 t=52095
zhuan zhu yu 	專注於	c=1 d=5.55065e-46 t=52095
zhuang 	妝	c=1 d=1.0739e-74 t=52095
zhuang 	莊	c=1 d=2.28081e-112 t=52095
zhuang 	裝	c=7 d=2.35498e-18 t=52095
zhuang hui 	裝回	c=2 d=3.16024e-37 t=52095
zhuang le 	裝了	c=2 d=4.24763e-16 t=52095
zhuang qiang 	裝腔	c=1 d=3.74712e-41 t=52095
zhuang tai 	狀態	c=143 d=0.185258 t=52095
zhuang tai ji 	状态机	c=2 d=4.743e-49 t=52095
zhuang xiu 	裝修	c=1 d=1.32129e-13 t=52095
zhui qiu 	追求	c=2 d=8.02629e-32 t=52095
zhui shu 	贅述	c=1 d=1.30197e-75 t=52095
zhui su 	追溯	c=2 d=2.32229e-26 t=52095
zhui zhu 	追逐	c=0 d=4.79653e-35 t=52095
zhun 	準	c=6 d=2.76685e-16 t=52095
zhun bei 	準備	c=24 d=2.76047e-11 t=52095
zhun que 	準確	c=3 d=6.60565e-05 t=52095
zhuo ei 	卓誒	c=1 d=1.04881e-90 t=52095
zhuo ha ne 	卓哈呢	c=1 d=4.0829e-80 t=52095
zhuo mian 	桌面	c=5 d=3.64389e-39 t=52095
zi 	子	c=25 d=5.42315e-12 t=52095
zi 	字	c=23 d=0.00555567 t=52095
zi 	紫	c=1 d=0.000464291 t=52095
zi 	自	c=9 d=1.7371e-06 t=52095
zi 	資	c=1 d=4.88879e-111 t=52095
zi bei 	自卑	c=1 d=9.45458e-47 t=52095
zi ben 	資本	c=1 d=8.92581e-17 t=52095
zi biao 	字表	c=1 d=6.81378e-17 t=52095
zi chan 	資產	c=7 d=1.02336e-07 t=52095
zi chuan 	字串	c=1 d=4.44815e-88 t=52095
zi dai 	自帶	c=3 d=2.67013e-34 t=52095
zi dian 	字典	c=2 d=1.95064 t=52095
zi ding 	自頂	c=1 d=4.67079e-45 t=52095
zi ding yi 	自定義	c=3 d=5.3055e-44 t=52095
zi dong 	自動	c=39 d=0.000782401 t=52095
zi dong hua 	自動化	c=4 d=2.41555e-16 t=52095
zi duan 	字段	c=11 d=3.93589e-31 t=52095
zi fu 	字符	c=23 d=1.06e-09 t=52095
zi fu chuan 	字符串	c=12 d=2.63329e-38 t=52095
zi hao 	字號	c=5 d=2.19214e-18 t=52095
zi ji 	子集	c=2 d=1.12203e-31 t=52095
zi ji 	自己	c=16 d=0.00303445 t=52095
zi ji de 	自己的	c=1 d=3.38755e-60 t=52095
zi jia 	自家	c=1 d=2.60736e-98 t=52095
zi jia gou 	子架構	c=1 d=5.46225e-63 t=52095
zi jian 	自檢	c=38 d=0.00130051 t=52095
zi jian ju 	字間距	c=1 d=5.51134e-80 t=52095
zi jie 	字節	c=38 d=0.000593594 t=52095
zi jin 	資金	c=3 d=8.98344e-78 t=52095
zi ku 	字庫	c=8 d=4.47897e-81 t=52095
zi kuan 	字寬	c=3 d=2.52359e-08 t=52095
zi liao 	資料	c=20 d=7.52673e-06 t=52095
zi mian 	字面	c=1 d=1.0226e-57 t=52095
zi mo 	字模	c=2 d=3.39661e-105 t=52095
zi mu 	字幕	c=4 d=6.95953e-79 t=52095
zi mu 	字母	c=2 d=0.000898306 t=52095
zi ran 	自然	c=2 d=1.41075e-99 t=52095
zi se 	紫色	c=1 d=0.000413853 t=52095
zi she bei 	自設備	c=2 d=3.04623e-64 t=52095
zi shen 	自身	c=5 d=6.84973e-19 t=52095
zi shi bie 	自識別	c=4 d=0.0780817 t=52095
zi shi ying 	自適應	c=1 d=3.02778e-92 t=52095
zi ti 	字體	c=111 d=0.000911861 t=52095
zi wo 	自我	c=1 d=1.14057e-18 t=52095
zi xi 	仔細	c=1 d=4.84097e-113 t=52095
zi xiang 	子項	c=1 d=5.50701e-12 t=52095
zi xing 	字形	c=17 d=3.10375e-26 t=52095
zi xing 	自行	c=4 d=1.24113e-12 t=52095
zi xing che 	自行車	c=1 d=0.000662162 t=52095
zi xun 	諮詢	c=4 d=2.95985e-31 t=52095
zi yan 	紫燕	c=0 d=4.24505e-98 t=52095
zi yan 	自研	c=3 d=5.71295e-29 t=52095
zi yan bai wei ji 	紫燕百味雞	c=1 d=4.26633e-97 t=52095
zi yang 	字樣	c=1 d=2.40821e-75 t=52095
zi yong 	自用	c=1 d=2.70024e-98 t=52095
zi you 	自由	c=1 d=1.21569e-33 t=52095
zi yuan 	資源	c=37 d=0.00213504 t=52095
zi zhi 	自製	c=1 d=1.8687e-91 t=52095
zi zhi ji qi 	自製機器	c=1 d=5.51885e-96 t=52095
zi zhong 	字重	c=7 d=5.81283e-26 t=52095
zi zhong duan 	子終端	c=1 d=5.35717e-11 t=52095
zi zhu 	自主	c=1 d=1.43426e-37 t=52095
zi zhuan 	自轉	c=1 d=1.47257e-53 t=52095
zong 	琮	c=1 d=2.53038e-69 t=52095
zong 	總	c=37 d=0.00119459 t=52095
zong bi 	總比	c=1 d=3.61063e-75 t=52095
zong bu 	總部	c=1 d=9.55905e-88 t=52095
zong de lai shuo 	總的來說	c=1 d=1.2987e-16 t=52095
zong e 	總額	c=6 d=6.56058e-78 t=52095
zong gong 	總共	c=2 d=3.73237e-24 t=52095
zong gong lv 	總功率	c=2 d=1.94396e-18 t=52095
zong ji 	總計	c=5 d=2.11916e-13 t=52095
zong ji fei lv 	總計費率	c=1 d=2.12979e-12 t=52095
zong ji fen xiang 	總及分相	c=2 d=2.10859e-12 t=52095
zong jie 	總結	c=5 d=3.00811e-06 t=52095
zong qun 	總羣	c=1 d=0.00548905 t=52095
zong shi 	總是	c=2 d=6.17801e-70 t=52095
zong xian 	總線	c=2 d=9.16765e-08 t=52095
zong xiang 	縱向	c=3 d=2.28679e-84 t=52095
zong zhi 	總之	c=1 d=1.71123e-26 t=52095
zou 	走	c=6 d=5.21319e-14 t=52095
zou cha 	走查	c=9 d=4.63471e-42 t=52095
zou cha dai ma 	走查代碼	c=1 d=2.62811e-103 t=52095
zou lang 	走廊	c=0 d=3.39437e-114 t=52095
zou le 	走了	c=0 d=4.39056e-24 t=52095
zou shi 	走勢	c=1 d=1.86737e-112 t=52095
zou zi 	走字	c=1 d=3.60522e-28 t=52095
