# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
zhang hao 	帳號	c=4 d=0.264477 t=21961
zhang jie 	章節	c=1 d=0.008271 t=21961
zhang wo 	掌握	c=0 d=7.84998e-07 t=21961
zhao 	找	c=0 d=7.46967e-11 t=21961
zhao bu dao 	找不到	c=2 d=0.66365 t=21961
zhao ce 	召測	c=4 d=0.118837 t=21961
zhao dao 	找到	c=5 d=0.00234976 t=21961
zhao ming 	照明	c=2 d=7.09073e-31 t=21961
zhao yi ge 	找一個	c=1 d=7.50711e-10 t=21961
zhao zhao 	找找	c=1 d=8.11965e-21 t=21961
zhe 	乛	c=1 d=1.11086e-31 t=21961
zhe 	折	c=1 d=1.07266e-31 t=21961
zhe 	着	c=1 d=0.0305009 t=21961
zhe 	者	c=3 d=0.175056 t=21961
zhe 	這	c=12 d=0.719234 t=21961
zhe bian 	這邊	c=4 d=0.0337902 t=21961
zhe bian shi 	這邊是	c=1 d=3.40464e-31 t=21961
zhe bu fen 	這部分	c=1 d=8.90882e-24 t=21961
zhe ci 	這次	c=1 d=2.79907e-21 t=21961
zhe dian 	這點	c=1 d=3.64715e-17 t=21961
zhe dui 	這對	c=1 d=1.05762e-12 t=21961
zhe ge 	這個	c=41 d=0.469107 t=21961
zhe guo 	這鍋	c=1 d=1.25621e-07 t=21961
zhe hang 	這行	c=2 d=1.9717e-07 t=21961
zhe ji tian 	這幾天	c=1 d=0.113608 t=21961
zhe jiu 	這就	c=1 d=1.47417e-07 t=21961
zhe jiu dao zhi 	這就導致	c=1 d=2.71311e-07 t=21961
zhe jiu gou le 	這就夠了	c=1 d=0.0153752 t=21961
zhe le 	這了	c=1 d=0.0239928 t=21961
zhe lei 	這類	c=1 d=0.574072 t=21961
zhe li 	這裏	c=22 d=1.2915 t=21961
zhe liang 	這兩	c=2 d=0.0958472 t=21961
zhe liang ge 	這兩個	c=1 d=1.40638e-12 t=21961
zhe liang tai 	者兩臺	c=1 d=0.625002 t=21961
zhe liang tian 	這兩天	c=1 d=1.59527e-24 t=21961
zhe me 	這麼	c=13 d=0.0549247 t=21961
zhe ne 	着呢	c=0 d=5.05739e-11 t=21961
zhe pian 	這篇	c=4 d=0.000114304 t=21961
zhe shi 	這是	c=10 d=0.980199 t=21961
zhe shi 	這時	c=1 d=9.49581e-10 t=21961
zhe tao 	這套	c=3 d=0.0116974 t=21961
zhe tiao 	這條	c=1 d=0.0510474 t=21961
zhe wei 	這位	c=1 d=1.36742e-05 t=21961
zhe wo 	這我	c=1 d=1.42516e-21 t=21961
zhe xie 	這些	c=4 d=1.51881e-05 t=21961
zhe yang 	這樣	c=8 d=0.479505 t=21961
zhe ye shi 	這也是	c=1 d=1.13999e-12 t=21961
zhe ye you 	這也有	c=1 d=1.50395e-07 t=21961
zhe yi 	這一	c=1 d=0.000265207 t=21961
zhe yi gai 	這一改	c=1 d=2.19883e-05 t=21961
zhe zhang 	這張	c=0 d=2.54851e-07 t=21961
zhe zhang ka 	這張卡	c=1 d=2.56129e-06 t=21961
zhe zhong 	這種	c=16 d=0.190139 t=21961
zhe zhong shi 	這種事	c=1 d=0.00382958 t=21961
zhe zong 	這總	c=1 d=0.00431784 t=21961
zhei 	這	c=1 d=5.77244e-07 t=21961
zhen 	幀	c=83 d=1.71158 t=21961
zhen 	真	c=1 d=1.38234e-15 t=21961
zhen chang 	幀長	c=2 d=7.7518e-05 t=21961
zhen dui 	針對	c=1 d=0.0057994 t=21961
zhen guo 	真果	c=1 d=8.49627e-25 t=21961
zhen jiao 	真叫	c=1 d=0.219808 t=21961
zhen jing 	震驚	c=1 d=1.4962e-05 t=21961
zhen jiu 	真就	c=1 d=0.0107269 t=21961
zhen shi 	真實	c=2 d=3.1079e-17 t=21961
zhen shi 	真是	c=1 d=1.03883e-07 t=21961
zhen ting 	偵聽	c=1 d=3.35634e-10 t=21961
zhen tou 	幀頭	c=4 d=0.715338 t=21961
zhen wei 	幀尾	c=1 d=2.64334e-24 t=21961
zhen xiang 	真香	c=4 d=0.0216208 t=21961
zhen zheng 	真正	c=1 d=0.187308 t=21961
zhen zhuo 	斟酌	c=1 d=1.56586e-11 t=21961
zheng 	整	c=3 d=0.000951834 t=21961
zheng 	正	c=5 d=0.542355 t=21961
zheng 	證	c=3 d=0.00672055 t=21961
zheng 	鄭	c=1 d=1.81427e-08 t=21961
zheng chang 	正常	c=30 d=0.953834 t=21961
zheng er ba jing 	正兒八經	c=1 d=1.77345e-05 t=21961
zheng ge 	整個	c=1 d=0.496585 t=21961
zheng gong 	鄭工	c=2 d=1.62334e-23 t=21961
zheng hao 	正好	c=1 d=0.00798652 t=21961
zheng li 	整理	c=6 d=1.01057e-06 t=21961
zheng pian 	整片	c=1 d=1.02107e-10 t=21961
zheng que 	正確	c=2 d=0.831104 t=21961
zheng shu 	整數	c=5 d=0.0925506 t=21961
zheng ti 	整體	c=1 d=4.15136e-11 t=21961
zheng ti 	正題	c=1 d=0.00392653 t=21961
zheng wen 	正文	c=1 d=2.45994e-31 t=21961
zheng wu 	正午	c=1 d=0.00158052 t=21961
zheng xing 	整型	c=9 d=0.0485913 t=21961
zheng xu 	正序	c=2 d=0.831104 t=21961
zheng yi ge 	整一個	c=1 d=0.000309671 t=21961
zheng zai 	正在	c=6 d=0.000185956 t=21961
zheng ze 	正則	c=1 d=1.42691e-06 t=21961
zheng zhang 	整張	c=1 d=6.23475e-31 t=21961
zhi 	之	c=12 d=0.366045 t=21961
zhi 	值	c=29 d=0.69308 t=21961
zhi 	只	c=14 d=0.394566 t=21961
zhi 	址	c=0 d=3.90084e-15 t=21961
zhi 	直	c=0 d=0.000729913 t=21961
zhi 	置	c=5 d=2.10486 t=21961
zhi 	至	c=16 d=0.00133712 t=21961
zhi bu guo 	只不過	c=2 d=1.87385e-13 t=21961
zhi chi 	支持	c=29 d=0.0744088 t=21961
zhi chu 	之處	c=1 d=3.84943e-05 t=21961
zhi chu 	指出	c=1 d=1.63738e-07 t=21961
zhi dai 	指代	c=1 d=2.74887e-14 t=21961
zhi dao 	直到	c=4 d=0.446618 t=21961
zhi dao 	知道	c=6 d=0.116605 t=21961
zhi dao le 	知道了	c=1 d=2.07318e-48 t=21961
zhi ding 	指定	c=18 d=0.859171 t=21961
zhi ding wei 	指定爲	c=3 d=9.28117e-05 t=21961
zhi du 	只讀	c=4 d=4.2845e-19 t=21961
zhi hou 	之後	c=6 d=0.384812 t=21961
zhi hu 	知乎	c=2 d=7.41197e-07 t=21961
zhi jian 	之間	c=4 d=0.0102549 t=21961
zhi jian 	指尖	c=2 d=1.2722e-19 t=21961
zhi jie 	直接	c=14 d=0.553877 t=21961
zhi lian 	直連	c=1 d=0.203926 t=21961
zhi liang 	質量	c=1 d=7.35322e-31 t=21961
zhi ling 	指令	c=45 d=0.951229 t=21961
zhi liu 	直流	c=1 d=1.83912e-21 t=21961
zhi men 	之門	c=1 d=1.99575e-12 t=21961
zhi ming 	指明	c=1 d=0.00012341 t=21961
zhi neng 	只能	c=2 d=0.0181376 t=21961
zhi qian 	之前	c=15 d=0.316305 t=21961
zhi shang 	之上	c=1 d=2.2167e-12 t=21961
zhi shao 	至少	c=1 d=0.00102814 t=21961
zhi shi 	只是	c=4 d=0.0163516 t=21961
zhi shi 	指示	c=2 d=0.0710054 t=21961
zhi shi 	知識	c=3 d=0.0295994 t=21961
zhi shi deng 	指示燈	c=1 d=4.90792e-10 t=21961
zhi wei 	置位	c=1 d=0.794534 t=21961
zhi wei 	置爲	c=6 d=0.00173804 t=21961
zhi xia 	之下	c=1 d=0.0101529 t=21961
zhi xiang 	指向	c=11 d=1.54242 t=21961
zhi xing 	執行	c=11 d=0.400517 t=21961
zhi xing dao 	執行到	c=1 d=0.704688 t=21961
zhi xu 	只需	c=1 d=1.83026e-23 t=21961
zhi yao 	只要	c=3 d=0.000515692 t=21961
zhi ye 	之夜	c=1 d=4.30655e-31 t=21961
zhi yi 	質疑	c=1 d=0.00414854 t=21961
zhi yin shui 	直飲水	c=1 d=0.00733572 t=21961
zhi yong 	只用	c=1 d=0.499074 t=21961
zhi you 	只有	c=4 d=0.000101039 t=21961
zhi yu 	值域	c=2 d=0.0708748 t=21961
zhi yu 	至於	c=1 d=0.00421123 t=21961
zhi zao 	製造	c=1 d=2.33997e-31 t=21961
zhi zhe ne 	值着呢	c=1 d=5.08274e-10 t=21961
zhi zhen 	指針	c=16 d=1.3373 t=21961
zhi zheng 	指正	c=1 d=0.00272578 t=21961
zhi zuo 	製作	c=2 d=6.29579e-31 t=21961
zhong 	中	c=206 d=4.99787 t=21961
zhong 	種	c=6 d=0.0447209 t=21961
zhong 	衆	c=1 d=2.28857e-05 t=21961
zhong 	鍾	c=4 d=7.15426e-06 t=21961
zhong da 	重大	c=4 d=0.00396599 t=21961
zhong de 	中的	c=3 d=0.477114 t=21961
zhong dian 	重點	c=1 d=1.24434e-13 t=21961
zhong du 	中毒	c=1 d=1.21655e-12 t=21961
zhong duan 	中斷	c=8 d=0.00834584 t=21961
zhong duan 	終端	c=122 d=2.47985 t=21961
zhong duan di zhi 	終端地址	c=1 d=8.03065e-09 t=21961
zhong duan xin xi 	終端信息	c=1 d=2.67226e-05 t=21961
zhong duan zi jian 	終端自檢	c=1 d=7.63769e-07 t=21961
zhong duo 	衆多	c=1 d=0.105399 t=21961
zhong ge guo 	中各國	c=1 d=9.50713e-24 t=21961
zhong guo 	中國	c=2 d=0.508272 t=21961
zhong ji qi 	中繼器	c=1 d=0.00132678 t=21961
zhong jian 	中間	c=11 d=0.157068 t=21961
zhong jian ceng 	中間層	c=1 d=1.05199e-08 t=21961
zhong shui 	中水	c=3 d=0.0147819 t=21961
zhong suo zhou zhi 	衆所周知	c=1 d=1.11185e-12 t=21961
zhong tu 	中途	c=1 d=9.25821e-06 t=21961
zhong wen 	中文	c=5 d=6.15367e-12 t=21961
zhong xin 	中心	c=2 d=1.57725e-08 t=21961
zhong xun 	中旬	c=1 d=6.19416e-13 t=21961
zhong yao 	重要	c=3 d=0.000871757 t=21961
zhong zi 	種子	c=1 d=2.08655e-06 t=21961
zhou 	周	c=3 d=0.000262568 t=21961
zhou 	軸	c=1 d=0.163654 t=21961
zhou gong 	周工	c=4 d=0.00023056 t=21961
zhou li 	周曆	c=1 d=0.579842 t=21961
zhou mo 	週末	c=4 d=2.00965e-16 t=21961
zhou qi 	週期	c=30 d=0.457715 t=21961
zhou san 	週三	c=1 d=7.92187e-25 t=21961
zhu 	丶	c=7 d=1.64393 t=21961
zhu 	主	c=4 d=0.165619 t=21961
zhu 	住	c=1 d=5.24378e-24 t=21961
zhu 	柱	c=1 d=1.8325e-08 t=21961
zhu bu 	逐步	c=1 d=4.13488e-23 t=21961
zhu ce 	註冊	c=1 d=5.73078e-10 t=21961
zhu cheng xu 	主程序	c=3 d=0.00160441 t=21961
zhu dao 	主導	c=1 d=1.38116e-05 t=21961
zhu dong 	主動	c=12 d=0.271432 t=21961
zhu duo 	諸多	c=2 d=6.45777e-12 t=21961
zhu gan 	主幹	c=30 d=0.0483156 t=21961
zhu ge 	逐個	c=2 d=5.63305e-05 t=21961
zhu hai 	珠海	c=1 d=2.81253e-48 t=21961
zhu ji 	主機	c=1 d=0.000277414 t=21961
zhu jian 	主鍵	c=0 d=0.00184997 t=21961
zhu jian 	逐漸	c=1 d=0.0288686 t=21961
zhu jian qu 	主鍵區	c=3 d=0.0715511 t=21961
zhu kong 	主控	c=5 d=3.83538e-13 t=21961
zhu li 	逐利	c=1 d=0.00289433 t=21961
zhu ming 	著名	c=1 d=1.55752e-07 t=21961
zhu ru 	諸如	c=1 d=4.2756e-05 t=21961
zhu shi 	註釋	c=4 d=0.0761835 t=21961
zhu ti 	主題	c=1 d=5.33045e-11 t=21961
zhu ti 	主體	c=1 d=0.00161245 t=21961
zhu wei 	諸位	c=2 d=5.63163e-12 t=21961
zhu yao 	主要	c=4 d=0.600496 t=21961
zhu yao shi 	主要是	c=1 d=0.0948935 t=21961
zhu ye 	主頁	c=2 d=1.70046e-30 t=21961
zhu yi 	主義	c=1 d=1.63398e-12 t=21961
zhu yi 	注意	c=12 d=0.0358693 t=21961
zhu yi de 	注意的	c=1 d=0.000142667 t=21961
zhu yin 	注音	c=6 d=0.946485 t=21961
zhu yong 	主用	c=1 d=0.000754089 t=21961
zhu zhan 	主站	c=85 d=1.89898 t=21961
zhu zhan ce 	主站側	c=1 d=1.83943e-23 t=21961
zhuan 	轉	c=6 d=0.25889 t=21961
zhuan fa 	轉發	c=10 d=0.543434 t=21961
zhuan huan 	轉換	c=35 d=0.122456 t=21961
zhuan yi 	轉移	c=4 d=1.45573e-06 t=21961
zhuan zhi 	專治	c=1 d=1.3445e-12 t=21961
zhuang 	裝	c=1 d=4.63171e-05 t=21961
zhuang kuang 	狀況	c=1 d=0.00013845 t=21961
zhuang shi 	裝飾	c=1 d=4.39355e-31 t=21961
zhuang tai 	狀態	c=69 d=2.76057 t=21961
zhuang tai ji 	狀態機	c=1 d=0.582748 t=21961
zhuang zhen 	撞幀	c=1 d=0.0015648 t=21961
zhuang zhi 	裝置	c=3 d=3.61921e-07 t=21961
zhun bei 	準備	c=15 d=0.00170857 t=21961
zhun que 	準確	c=1 d=0.932394 t=21961
zhun ru 	准入	c=2 d=0.379329 t=21961
zhuo zi 	桌子	c=1 d=7.95887e-21 t=21961
zi 	子	c=9 d=0.31291 t=21961
zi 	字	c=6 d=0.114178 t=21961
zi 	自	c=2 d=0.196912 t=21961
zi ban 	子版	c=1 d=1.24841e-22 t=21961
zi ban ben 	子版本	c=1 d=2.26341e-22 t=21961
zi ben 	資本	c=2 d=0.0365162 t=21961
zi biao 	字表	c=4 d=7.11408e-09 t=21961
zi chang 	字長	c=1 d=1.05435e-05 t=21961
zi chuan 	字串	c=1 d=0.000925663 t=21961
zi ci 	字詞	c=1 d=7.98788e-05 t=21961
zi da 	自打	c=1 d=9.54179e-08 t=21961
zi ding yi 	自定義	c=14 d=1.64154 t=21961
zi dong 	自動	c=10 d=0.270702 t=21961
zi duan 	字段	c=3 d=0.196912 t=21961
zi fa 	自發	c=1 d=0.00406639 t=21961
zi fu 	字符	c=14 d=2.24911 t=21961
zi fu chuan 	字符串	c=12 d=3.14391 t=21961
zi fu chuang 	字符牀	c=1 d=4.55717e-20 t=21961
zi fu xing 	字符型	c=14 d=0.0404983 t=21961
zi gong si 	子公司	c=1 d=2.61935e-05 t=21961
zi gui yue 	子規約	c=3 d=0.145908 t=21961
zi gui yue hao 	子規約號	c=1 d=0.0441572 t=21961
zi hui 	自會	c=1 d=0.0098528 t=21961
zi ji 	自己	c=13 d=0.205714 t=21961
zi jian 	自建	c=1 d=0.00683978 t=21961
zi jian 	自檢	c=67 d=0.800924 t=21961
zi jie 	字節	c=53 d=3.73557 t=21961
zi jie shu 	字節數	c=2 d=1.57151e-15 t=21961
zi liao 	資料	c=2 d=0.000276223 t=21961
zi mian 	字面	c=1 d=5.04964e-20 t=21961
zi mian liang 	字面量	c=1 d=4.48932e-20 t=21961
zi ran 	自然	c=1 d=0.0335406 t=21961
zi shen 	自身	c=1 d=0.000682328 t=21961
zi shi 	姿勢	c=1 d=1.80583e-12 t=21961
zi shu 	字數	c=1 d=6.67431e-09 t=21961
zi ti 	字體	c=3 d=3.69255e-24 t=21961
zi xing 	自行	c=4 d=0.000356214 t=21961
zi xing che 	自行車	c=1 d=0.000273284 t=21961
zi xun 	諮詢	c=1 d=2.91578e-31 t=21961
zi you 	自有	c=1 d=0.00102302 t=21961
zi yuan 	資源	c=1 d=8.50523e-08 t=21961
zi zeng 	自增	c=2 d=3.04362e-47 t=21961
zong 	總	c=1 d=7.86896e-05 t=21961
zong gong 	總共	c=5 d=0.257947 t=21961
zong gong si 	總公司	c=3 d=7.34841e-23 t=21961
zong hui 	總會	c=1 d=3.03478e-31 t=21961
zong jie 	總結	c=9 d=0.394558 t=21961
zong shi 	總是	c=4 d=0.0323869 t=21961
zong shu 	總數	c=9 d=4.40136e-05 t=21961
zong you 	總有	c=1 d=7.99714e-48 t=21961
zou 	走	c=1 d=7.32799e-20 t=21961
zou cha 	走查	c=1 d=0.0464212 t=21961
zou cuo 	走錯	c=1 d=8.92277e-13 t=21961
zou xian 	走線	c=1 d=3.5997e-10 t=21961
zu 	組	c=12 d=0.0435998 t=21961
zu bie 	組別	c=1 d=1.93842e-22 t=21961
zu ceng 	組層	c=1 d=0.0141223 t=21961
zu gou 	足夠	c=1 d=0.158817 t=21961
zu he 	組合	c=2 d=0.165299 t=21961
zu hu 	租戶	c=1 d=7.24374e-31 t=21961
zu se 	阻塞	c=1 d=2.72199e-16 t=21961
zu zhen 	組幀	c=13 d=0.193013 t=21961
zu zhi 	組織	c=1 d=4.78512e-06 t=21961
zu zhuang 	組裝	c=6 d=0.787456 t=21961
zui 	嘴	c=3 d=0.0475892 t=21961
zui 	最	c=3 d=0.154124 t=21961
zui bian 	嘴邊	c=1 d=0.0102549 t=21961
zui da 	最大	c=11 d=0.369723 t=21961
zui da zhi 	最大值	c=3 d=0.680451 t=21961
zui di 	最低	c=2 d=0.000164803 t=21961
zui duo 	最多	c=9 d=0.22253 t=21961
zui hao 	最好	c=1 d=0.000247277 t=21961
zui hou 	最後	c=12 d=3.42416 t=21961
zui jin 	最近	c=5 d=0.000153259 t=21961
zui xi ai 	最喜愛	c=1 d=1.30476e-12 t=21961
zui xiao 	最小	c=1 d=0.0043831 t=21961
zui xiao zhi 	最小值	c=1 d=0.0547488 t=21961
zui xin 	最新	c=1 d=0.0776922 t=21961
zui zao 	最早	c=2 d=6.25434e-31 t=21961
zui zhong 	最終	c=1 d=0.615697 t=21961
zun xun 	遵循	c=2 d=1.23266e-08 t=21961
zuo 	作	c=3 d=0.00981433 t=21961
zuo 	做	c=17 d=0.271173 t=21961
zuo 	左	c=1 d=3.3138e-07 t=21961
zuo cheng 	做成	c=1 d=3.35395e-31 t=21961
zuo chu 	做出	c=1 d=7.42712e-31 t=21961
zuo chu le 	做除了	c=1 d=7.39007e-31 t=21961
zuo de 	做得	c=1 d=1.42739e-10 t=21961
zuo de 	做的	c=1 d=2.54193e-05 t=21961
zuo le 	做了	c=2 d=0.0057452 t=21961
zuo qi 	左起	c=1 d=5.52032e-11 t=21961
zuo shang 	左上	c=1 d=3.0057e-06 t=21961
zuo tian 	昨天	c=3 d=0.319819 t=21961
zuo wei 	作爲	c=6 d=0.680451 t=21961
zuo yi 	作一	c=1 d=0.0958472 t=21961
zuo yi 	左移	c=2 d=0.18743 t=21961
zuo ying jian 	做硬件	c=1 d=3.30524e-06 t=21961
zuo yong 	作用	c=1 d=0.15259 t=21961
zuo yong yu 	作用域	c=2 d=1.57125e-05 t=21961
zuo you 	左右	c=3 d=1.85568e-21 t=21961
zuo zhe 	作者	c=9 d=0.0426097 t=21961
zuo zhe men 	作者們	c=1 d=2.63248e-05 t=21961
